,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
221,SEB208000156,벽산상가.2001아울렛,,,,,,,,37.3961723,126.9233775,,,2020-09-24 07:32:12,,,,,,57027.0,11,서울특별시,안양시 만안구
222,SEB121000972,양재역신한은행앞,,,,,,,,37.482909,127.0352377,,,2020-09-24 07:32:12,,,,,,22999.0,11,서울특별시,서초구
223,SEB209000054,평촌역,,,,,,,,37.3946794,126.9646786,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,안양시 동안구
224,SEB225000428,송안초등학교,,,,,,,,37.3169669,126.92085,,,2020-09-24 07:32:12,,,,,,26409.0,11,서울특별시,군포시
225,SEB225000427,송안초등학교,,,,,,,,37.3166401,126.9202997,,,2020-09-24 07:32:12,,,,,,26408.0,11,서울특별시,군포시
226,SEB226000101,꿈마을아파트,,,,,,,,37.3174906,126.9503466,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의왕시
227,SEB226000099,의왕역,,,,,,,,37.3215399,126.9489031,,,2020-09-24 07:32:12,,,,,,27002.0,11,서울특별시,의왕시
228,SEB226000098,부곡주유소,,,,,,,,37.3247033,126.9486503,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의왕시
229,SEB209000241,호계삼거리.디오슈페리움,,,,,,,,37.3656844,126.9576253,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,안양시 동안구
230,SEB209000226,LS타워,,,,,,,,37.3723737,126.9484645,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,안양시 동안구
231,SEB118000085,영등포구민회관.영등포경찰서,,,,,,,,37.5267409,126.899728,,,2020-09-24 07:32:12,,,,,,19170.0,11,서울특별시,영등포구
232,SEB209000009,유통단지사거리,,,,,,,,37.3682056,126.9541865,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,안양시 동안구
233,SEB226000080,의왕역,,,,,,,,37.3213676,126.9487915,,,2020-09-24 07:32:12,,,,,,27004.0,11,서울특별시,의왕시
234,SEB226000184,한국철도기술연구원,,,,,,,,37.3129814,126.9528957,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의왕시
235,SEB226000066,대원아파트,,,,,,,,37.3763367,126.9706939,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의왕시
236,SEB226000063,국민체육센터,,,,,,,,37.381522,126.9756168,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의왕시
237,SEB209000101,평촌동행정복지센터,,,,,,,,37.3944877,126.9768729,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,안양시 동안구
238,SEB209000032,인덕원역4호선,,,,,,,,37.4027761,126.9751351,,,2020-09-24 07:32:12,,,,,,56037.0,11,서울특별시,안양시 동안구
