,계약연월,자치구별,CoffeeShop
925,2020-2,구로구,458
926,2020-2,서초구,1005
927,2020-2,영등포구,862
928,2020-2,서대문구,521
929,2020-2,강남구,1831
930,2020-2,중구,1148
931,2020-2,송파구,585
932,2020-2,종로구,859
933,2020-2,마포구,755
934,2020-2,성북구,492
935,2020-2,동대문구,424
936,2020-2,용산구,444
937,2020-2,중랑구,329
938,2020-2,강북구,243
939,2020-2,동작구,431
940,2020-2,은평구,399
941,2020-2,강서구,907
942,2020-2,강동구,516
943,2020-2,도봉구,272
944,2020-2,금천구,375
945,2020-2,양천구,414
946,2020-2,관악구,559
947,2020-2,노원구,484
948,2020-2,성동구,421
949,2020-2,광진구,501
950,2020-3,구로구,458
951,2020-3,서초구,1005
952,2020-3,영등포구,862
953,2020-3,서대문구,521
954,2020-3,강남구,1831
955,2020-3,중구,1148
956,2020-3,송파구,585
957,2020-3,종로구,859
958,2020-3,마포구,755
959,2020-3,성북구,492
960,2020-3,동대문구,424
961,2020-3,용산구,444
962,2020-3,중랑구,329
963,2020-3,강북구,243
964,2020-3,동작구,431
965,2020-3,은평구,399
966,2020-3,강서구,907
967,2020-3,강동구,516
968,2020-3,도봉구,272
969,2020-3,금천구,375
970,2020-3,양천구,414
971,2020-3,관악구,559
972,2020-3,노원구,484
973,2020-3,성동구,421
974,2020-3,광진구,501
975,2020-4,구로구,458
976,2020-4,서초구,1005
977,2020-4,영등포구,862
978,2020-4,서대문구,521
979,2020-4,강남구,1831
980,2020-4,중구,1148
981,2020-4,송파구,585
982,2020-4,종로구,859
983,2020-4,마포구,755
984,2020-4,성북구,492
985,2020-4,동대문구,424
986,2020-4,용산구,444
987,2020-4,중랑구,329
988,2020-4,강북구,243
989,2020-4,동작구,431
990,2020-4,은평구,399
991,2020-4,강서구,907
992,2020-4,강동구,516
993,2020-4,도봉구,272
994,2020-4,금천구,375
995,2020-4,양천구,414
996,2020-4,관악구,559
997,2020-4,노원구,484
998,2020-4,성동구,421
999,2020-4,광진구,501
1000,2020-5,구로구,458
1001,2020-5,서초구,1005
1002,2020-5,영등포구,862
1003,2020-5,서대문구,521
1004,2020-5,강남구,1831
1005,2020-5,중구,1148
1006,2020-5,송파구,585
1007,2020-5,종로구,859
1008,2020-5,마포구,755
1009,2020-5,성북구,492
1010,2020-5,동대문구,424
1011,2020-5,용산구,444
1012,2020-5,중랑구,329
1013,2020-5,강북구,243
1014,2020-5,동작구,431
